t,x,tf
0.0,0.02,2.875
0.010012516,0.02,3.2500987
0.020025032,0.02,3.471726
0.030037548,0.02,3.574786
0.040050063,0.02,3.6360157
0.05006258,0.02,3.6714184
0.060075097,0.02,3.6934595
0.07008761,0.02,3.7073417
0.08010013,0.02,3.716367
0.09011264,0.02,3.7223349
0.10012516,0.02,3.7263644
0.11013767,0.02,3.7291355
0.12015019,0.02,3.731081
0.1301627,0.02,3.732477
0.14017522,0.02,3.7335038
0.15018773,0.02,3.7342806
0.16020025,0.02,3.7348864
0.17021278,0.02,3.7353747
0.18022528,0.02,3.7357812
0.1902378,0.02,3.7361317
0.20025031,0.02,3.736442
0.21026284,0.02,3.7367241
0.22027534,0.02,3.7369866
0.23028786,0.02,3.7372348
0.24030039,0.02,3.7374728
0.2503129,0.02,3.737703
0.26032543,0.02,3.7379274
0.27033794,0.02,3.7381477
0.28035045,0.02,3.7383645
0.29036295,0.02,3.7385788
0.3003755,0.02,3.7387905
0.310388,0.02,3.7390003
0.3204005,0.02,3.7392085
0.330413,0.02,3.7394152
0.34042555,0.02,3.73962
0.35043806,0.02,3.7398233
0.36045057,0.02,3.740025
0.37046307,0.02,3.7402253
0.3804756,0.02,3.740424
0.39048812,0.02,3.7406213
0.40050063,0.02,3.7408168
0.41051313,0.02,3.7410107
0.42052567,0.02,3.7412028
0.43053818,0.02,3.741393
0.44055068,0.02,3.7415814
0.4505632,0.02,3.7417681
0.46057573,0.02,3.741953
0.47058824,0.02,3.7421355
0.48060077,0.02,3.7423158
0.49061328,0.02,3.7424943
0.5006258,0.02,3.7426705
0.5106383,0.02,3.742844
0.52065086,0.02,3.7430158
0.5306634,0.02,3.743185
0.5406759,0.02,3.7433517
0.5506884,0.02,3.7435164
0.5607009,0.02,3.743678
0.5707134,0.02,3.7438374
0.5807259,0.02,3.7439938
0.5907384,0.02,3.7441478
0.600751,0.02,3.744299
0.6107635,0.02,3.7444472
0.620776,0.02,3.7445927
0.6307885,0.02,3.7447352
0.640801,0.02,3.7448745
0.6508135,0.02,3.745011
0.660826,0.02,3.7451444
0.67083853,0.02,3.7452748
0.6808511,0.02,3.745402
0.6908636,0.02,3.745526
0.7008761,0.02,3.7456467
0.7108886,0.02,3.7457643
0.72090113,0.02,3.7458782
0.73091364,0.02,3.7459888
0.74092615,0.02,3.7460961
0.75093865,0.02,3.7462
0.7609512,0.02,3.7463005
0.7709637,0.02,3.7463975
0.78097624,0.02,3.7464905
0.79098874,0.02,3.7465801
0.80100125,0.02,3.746666
0.81101376,0.02,3.7467482
0.82102627,0.02,3.746827
0.8310388,0.02,3.7469015
0.84105134,0.02,3.7469726
0.85106385,0.02,3.74704
0.86107635,0.02,3.7471035
0.87108886,0.02,3.747163
0.88110137,0.02,3.7472188
0.8911139,0.02,3.7472708
0.9011264,0.02,3.7473187
0.9111389,0.02,3.7473626
0.92115146,0.02,3.747403
0.93116397,0.02,3.747439
0.9411765,0.02,3.7474713
0.951189,0.02,3.7474995
0.96120155,0.02,3.7475235
0.97121406,0.02,3.7475436
0.98122656,0.02,3.74756
0.9912391,0.02,3.7475722
1.0012516,0.02,3.5898128
