t,x,ts
0.0,0.02,0.0
0.010012516,0.02,0.0
0.020025032,0.02,0.0
0.030037548,0.02,0.0
0.040050063,0.02,0.0
0.05006258,0.02,0.0
0.060075097,0.02,0.0
0.07008761,0.02,0.0
0.08010013,0.02,0.0
0.09011264,0.02,0.0
0.10012516,0.02,0.0
0.11013767,0.02,0.0
0.12015019,0.02,0.0
0.1301627,0.02,0.0
0.14017522,0.02,0.0
0.15018773,0.02,0.0
0.16020025,0.02,0.0
0.17021278,0.02,0.0
0.18022528,0.02,0.0
0.1902378,0.02,0.0
0.20025031,0.02,0.0
0.21026284,0.02,0.0
0.22027534,0.02,0.0
0.23028786,0.02,0.0
0.24030039,0.02,0.0
0.2503129,0.02,0.0
0.26032543,0.02,0.0
0.27033794,0.02,0.0
0.28035045,0.02,0.0
0.29036295,0.02,0.0
0.3003755,0.02,0.0
0.310388,0.02,0.0
0.3204005,0.02,0.0
0.330413,0.02,0.0
0.34042555,0.02,0.0
0.35043806,0.02,0.0
0.36045057,0.02,0.0
0.37046307,0.02,0.0
0.3804756,0.02,0.0
0.39048812,0.02,0.0
0.40050063,0.02,0.0
0.41051313,0.02,0.0
0.42052567,0.02,0.0
0.43053818,0.02,0.0
0.44055068,0.02,0.0
0.4505632,0.02,0.0
0.46057573,0.02,0.0
0.47058824,0.02,0.0
0.48060077,0.02,0.0
0.49061328,0.02,0.0
0.5006258,0.02,0.0
0.5106383,0.02,0.0
0.52065086,0.02,0.0
0.5306634,0.02,0.0
0.5406759,0.02,0.0
0.5506884,0.02,0.0
0.5607009,0.02,0.0
0.5707134,0.02,0.0
0.5807259,0.02,0.0
0.5907384,0.02,0.0
0.600751,0.02,0.0
0.6107635,0.02,0.0
0.620776,0.02,0.0
0.6307885,0.02,0.0
0.640801,0.02,0.0
0.6508135,0.02,0.0
0.660826,0.02,0.0
0.67083853,0.02,0.0
0.6808511,0.02,0.0
0.6908636,0.02,0.0
0.7008761,0.02,0.0
0.7108886,0.02,0.0
0.72090113,0.02,0.0
0.73091364,0.02,0.0
0.74092615,0.02,0.0
0.75093865,0.02,0.0
0.7609512,0.02,0.0
0.7709637,0.02,0.0
0.78097624,0.02,0.0
0.79098874,0.02,0.0
0.80100125,0.02,0.0
0.81101376,0.02,0.0
0.82102627,0.02,0.0
0.8310388,0.02,0.0
0.84105134,0.02,0.0
0.85106385,0.02,0.0
0.86107635,0.02,0.0
0.87108886,0.02,0.0
0.88110137,0.02,0.0
0.8911139,0.02,0.0
0.9011264,0.02,0.0
0.9111389,0.02,0.0
0.92115146,0.02,0.0
